id,name,remark,description
728,Soul of Rosaria,"Soul of Rosaria, Mother of Rebirth","The soul of Rosaria, Mother of Rebirth,
stolen by Ringfinger Leonhard.

Return this to her extant corpse,
and mother Rosaria will spring back to life.

As if nothing had ever happened."
729,Soul of the Deacons of the Deep,"One of the twisted souls, steeped in strength","Soul of the Deacons of the Deep.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

After Aldrich left for the Boreal valley,
Archdeacon Royce remained in the cathedral
with the high priests,
to keep eternal watch over their master's coffin."
731,Soul of the Twin Princes,"One of the twisted souls, steeped in strength","Soul of the Twin Princes.
One of the twisted souls, steeped in strength.

Use to acquire numerous souls,
or transpose to extract its true strength.

The two princes rejected their duty
to become Lords of Cinder,
and settled down far,
far away to watch the fire fade from a distance.
A curse makes their souls nearly inseparable."
732,Soul of Yhorm the Giant,"One of the twisted souls, steeped in strength","Soul of Yhorm the Giant.
One of the twisted souls, steeped in strength.

Use to acquire numerous souls,
or transpose to extract its true strength.

Yhorm is the descendant of an ancient conqueror,
but was asked by the very people
once subjugated to lead them,
serving as both a weighty blade and a stone-hard shield."
733,Soul of the Lords,"One of the twisted souls, steeped in strength","Soul of the Lords.
One of the twisted souls, steeped in strength.

Use to acquire numerous souls,
or transpose to extract its true strength.

Since Lord Gwyn, the first Lord of Cinder,
many exalted lords have linked the First Flame,
and it is their very souls that have
manifested themselves as defender of the flame."
739,Soul of a Demon,"One of the twisted souls, steeped in strength","Soul of a demon.
One of the twisted souls, steeped in strength.

Use to acquire numerous souls,
or transpose to extract its true strength.

Demons were born of the Chaos Flame,
but the flame has not survived,
and the demons are a dying race."
743,Soul of a Stray Demon,"One of the twisted souls, steeped in strength","Soul of the Stray Demon.
One of the twisted souls, steeped in strength.

Use to acquire numerous souls,
or transpose to extract its true strength.

The Stray Demon, now lacking even a trace of flame,
was once the gatekeeper of Lothric."
1000,Titanite Shard,Reinforce weapon to +3,"Titanite shard for weapon reinforcement.
Reinforces weapons to +3.

Titanite shards are fragments
of the Legendary Slabs.
Titanite is etched into weapons to reinforce."
1001,Large Titanite Shard,Reinforce weapon to +6,"Titanite shard for weapon reinforcement.
A larger shard that reinforces weapons to +6.

Titanite shards are fragments
of the Legendary Slabs.
Titanite is etched into weapons to reinforce."
1002,Titanite Chunk,Reinforce weapon to +9,"Titanite chunk for weapon reinforcement.
Reinforces weapons to +9.

Few records of chunks exist,
and once one was discovered in Lothric,
the race to locate Legendary Slabs began,
but there have been no reports of success."
1003,Titanite Slab,Reinforce weapon to highest level,"Titanite slab for weapon reinforcement,
said to once belong to the gods.
Reinforces weapons to their highest level.

Titanite slabs are smithing materials of the gods,
and weapons reinforced with slabs will be admired
no less than their precious legendary weapons."
1020,Titanite Scale,Reinforce soul-transposed weapon to +4,"Titanite altered by a soul.
Reinforces soul-transposed weapons to +4.

Weapons forged by soul transposition can only
be reinforced by titanite of the same kind.

In rare cases, crystal lizards devour souls,
growing to monstrous proportion and
leaving these great scales."
1030,Twinkling Titanite,Reinforce weapons steeped in strength to +4,"Twinkling titanite for weapon reinforcement.
Reinforce weapons steeped in strength to +4.
These unique weapons cannot be reinforced
with ordinary titanite,
nor can they be infused.

Unless one uses this twinkling titanite,
which reinforces these weapons without
unraveling their inherent strength."
1100,Heavy Gem,Infuse to create heavy weapon,"A gem of infused titanite.
Famously used to forge Farron greatswords.

Used in infusion to create heavy weapons.

A warrior can appreciate a heavy weapon,
for they scale effectively with strength."
1110,Sharp Gem,Infuse to create sharp weapon,"A gem of infused titanite.
Forged the unique curved swords of Carthus.

Used in infusion to create sharp weapons.

A swordsman can appreciate a sharp weapon,
for they scale effectively with dexterity."
1120,Refined Gem,Infuse to create refined weapon,"A gem of infused titanite.
Forged the weapons of Lothric knights.

Used in infusion to create refined weapons.

Refined weapons are difficult to wield properly,
and scale effectively with strength and dexterity."
1130,Crystal Gem,Infuse to create crystal weapon,"A gem of infused titanite.
Introduced to Lothric by the Crystal Sages.

Used in infusion to create crystal weapons.

Crystal weapons inflict magic damage,
and scale effectively with intelligence."
1140,Simple Gem,Infuse to create simple weapon,"A gem of infused titanite,
said to be an object of infatuation for
victims of stunted development.

Used in infusion to create simple weapons.

Simple weapons inflict magic damage
and restore FP very gradually,
to help even a simpleton muster some mettle."
1150,Fire Gem,Infuse to create fire weapon,"A gem of infused titanite.
Found in rare cases inside demons.

Used in infusion to create fire weapons.

Fire weapons inflict fire damage,
but lose scaling effects."
1160,Chaos Gem,Infuse to create chaos weapon,"A gem of infused titanite.
Relics of lands scorched by the Chaos Flame.

Used in infusion to create chaos weapons.

Chaos weapons inflict fire damage,
and scale with intelligence and faith."
1170,Lightning Gem,Infuse to create lightning weapon,"A gem of infused titanite.
Found in the aftermath of dragon hunts.

Used in infusion to create lightning weapons.

Lightning weapons inflict lightning damage,
and scale with faith."
1180,Deep Gem,Infuse to create deep weapon,"A gem of infused titanite.
Found in the dregs of the Cathedral of the Deep.

Used in infusion to create deep weapons.

Deep weapons inflict dark damage,
but lose scaling effects.

There is a darkness that lies beyond human ken."
1190,Dark Gem,Infuse to create dark weapon,"A gem of infused titanite.
Born of disembodied humanity.

Used in infusion to create dark weapons.

Dark weapons inflict dark damage,
and scale with intelligence and faith."
1200,Poison Gem,Infuse to create poison weapon,"A gem of infused titanite.
Discovered in the rotted forest of Farron.

Used in infusion to create poison weapons.

Such weapons inflict poison-laced damage
that gradually eats away at foes."
1210,Blood Gem,Infuse to create lacerating weapon,"A gem of infused titanite.
Slurped by Irithyll slaves.

Used in infusion to create lacerating weapons.

Such weapons inflict lacerating damage.
Most effective with sharp or spiked weapons."
1220,Raw Gem,Infuse to create raw weapon,"A gem of infused titanite.
Forged the weapons of Lothric foot soldiers.

Used in infusion to create raw weapons.

Raw weapons are easily wielded and have higher attack,
but lose scaling effects."
1230,Blessed Gem,Infuse to create blessed weapon,"A gem of infused titanite.
Commonly known as a charm kept by saints.

Used in infusion to create blessed weapons.

Special blessed weapons gradually restore HP
and heavily damage reanimated foes."
1240,Hollow Gem,Infuse to create Hollow weapon,"A gem of infused titanite.
A stone plentiful in Londor, land of Hollows.

Used in infusion to create Hollow weapons.

Hollow weapons are said to peer
into the essence of its wielder,
whose luck boosts attack."
1250,Shriving Stone,Undo weapon infusion,"A gem of infused titanite.
Also known as stark stone.

Reverses weapon infusion.

Has the benefit of undoing the effects of infusion
without reducing the reinforcement level."
2001,Lift Chamber Key,Key to the underground lift,"Key to the room of the lift that descends
to the deepest dungeon in Lothric.

A surviving Darkwraith,
from the land swallowed by darkness,
is said to be held there."
2005,Small Doll,Silverwork doll depicting a young squire,"Small silverwork doll depicting a young squire.

In the legendary old city of Irithyll
situated in the Boreal Valley,
the Pontiff Sulyvahn gave this doll to valued subjects,
so that they might use it to cross the barrier
when they return home.

Listen carefully, and you can hear it say,
""Wherever you go, the moon still sets in Irithyll.
Wherever you may be, Irithyll is your home."""
2007,Jailbreaker's Key,Key to the barred window of Irithyll dungeon,"Key to the barred window in the Irithyll dungeon.

But the window only leads to a bottomless black pit below,
and above, a paltry view of the ruined Profaned Capital.

The very architecture appears to be a cruel joke
the jailers played on would-be escapees."
2008,Jailer's Key Ring,"Irithyllian Jailer's ring, filled with many keys","Ring of keys to the Irithyll dungeon held by the jailer.

Opens most cell doors.

On what grounds do they remain imprisoned,
considering that by now they are mindless Hollows,
or unrealized, gibbering fools?"
2009,Grave Key,Key to a door in Undead Settlement sewer,"Key to the barred door leading from the sewer
below the Undead Settlement to a moist grave.

The grave, which no longer receives visitors,
was once the site of a statue of Velka,
Goddess of Sin, and was believed to pardon wrongdoing,
and lift curses."
2010,Cell Key,Key to cell holding thieves and the like,"Key to a cell holding thieves and the like.

There is no shortage of brash thieves in Lothric,
and these particular thieves likely scaled the wall
from the Undead Settlement.

But they are only willing to practice
their thievery on the High Wall,
for their fear of Lothric castle, rumored to devour men,
keeps them clear of its grounds."
2012,Old Cell Key,Key to the oldest cell in all of Irithyll dungeon,"Key to the oldest cell in the Irithyll dungeon.

The first prisoner of the dungeon was a lone giant.
Cells for men were built at his feet."
2013,Tower Key,Key to the dilapidated tower behind the shrine,"Key to the decrepit tower behind Firelink Shrine
which leads to the Bell Tower.

The Bell Tower is the grave of Fire Keepers past.
When a Fire Keeper has served her purpose,
she is led to true darkness,
where she enjoys a long-deserved sleep."
2014,Grand Archives Key,Key to the main door of Lothric's Grand Archives,"Key to the main entrance to
the Grand Archives of Lothric.

With the fire fading,
and the spreading pus of man tainting the castle,
the Grand Archives closed its doors for good.

Today, only a few of its keys remain.
This one likely belonged to Gotthard,
one of the king's Black Hands, who fled the castle."
2102,Small Lothric Banner,Hold up outside the main castle gate to be taken,"Small banner held by Lothric messengers.

Hold up outside the main castle gate
to be greeted by an escort.

When the High Wall appeared,
the path to the Undead Settlement was blocked,
and messengers came bearing this banner.
They were sent out with a duty,
but had no way of returning."
2103,Farron Coal,"Enable heavy, sharp, and poison infusion","Coal used for weapon infusion.

Long ago, used to forge the greatswords of
the Undead Legion of Farron.

Give to the blacksmith in the shrine to allow
the use of gems for heavy, sharp, and poison infusion."
2104,Sage's Coal,"Enable crystal, blessed, and deep infusion","Coal used for weapon infusion.

The white magic flame produced by this coal
was given to the Undead Legion long ago by
one of the Crystal Sage twins.

Give to the blacksmith in the shrine to allow
the use of gems for crystal, blessed, and dark infusion."
2105,Giant's Coal,"Enable lightning, simple, and chaos infusion","Coal used for weapon infusion.

It is said that the giant blacksmith of Anor Londo
was once the blacksmith of the gods.

Give to the blacksmith in the shrine to allow
the use of gems for lightning, simple, and chaos infusion."
2106,Profaned Coal,"Enable dark, lacerating, and Hollow infusion","Coal used for weapon infusion.

Remnants of the fire that burned down the Profaned Capital,
preserved in an icy skull.

Give to the blacksmith in the shrine to allow
the use of gems for dark, blood, and Hollow infusion."
2107,Mortician's Ashes,Shrine handmaid will prepare new items,"Umbral ash of a resident of the Undead Settlement
who made a living burying corpses.

With this, the shrine handmaid will prepare new items."
2108,Dreamchaser's Ashes,Shrine handmaid will prepare new items,"Umbral ash of one who dreamt of
joining the Undead Legion.
With this, the shrine handmaid will prepare new items.

In the end, the dream chasers who wandered aimlessly
in the rotted forest found a sense of fulfillment."
2109,Paladin's Ashes,Shrine handmaid will prepare new items,"Umbral ash of a worn-out paladin
who sought the Cathedral of the Deep.
With this, the shrine handmaid will prepare new items.

This paladin paid quite a price for his headstrong justice."
2110,Grave Warden's Ashes,Shrine handmaid will prepare new items,"Umbral ash of the grave warden
of the catacombs of Carthus.
With this, the shrine handmaid will prepare new items.

The old man began as a squire,
carrying his master's accoutrements.
He ended his days a grave warden,
and carried them still."
2111,Greirat's Ashes,Shrine handmaid will prepare new items,"Umbral ash of Greirat of the Undead Settlement.
With this, the shrine handmaid will prepare new items.

Greirat was a thief who fancied
himself a martyr for the poor,
which is what drove him to climb the wall."
2112,Orbeck's Ashes,Shrine handmaid will prepare new items,"Umbral ash of Orbeck of Vinheim.
With this, the shrine handmaid will prepare new items.

Orbeck was fascinated with sorcery but without means,
so offered to serve as an assassin in exchange
for acceptance into the Dragon Academy,
believing that one day he could
reinvent himself as a sorcerer."
2113,Cornyx's Ashes,Shrine handmaid will prepare new items,"Umbral ash of Cornyx of the Great Swamp.
With this, the shrine handmaid will prepare new items.

Cornyx was tired and defeated until
he discovered one final pupil,
like so many pyromancers before him."
2114,Karla's Ashes,Shrine handmaid will prepare new items,"Umbral ash of Karla. With this,
the shrine handmaid will prepare new items.

The spurned child of the Abyss never dies,
but phases in and out of its fringes.
Only, there is no one to search for her any longer."
2115,Irina's Ashes,Shrine handmaid will prepare new items,"Umbral ash of Irina of Carim.
With this, the shrine handmaid will prepare new items.

Irina was a frail woman.
This frailty led to her becoming a saint of Carim,
and to her grand treachery."
2116,Yuria's Ashes,Shrine handmaid will prepare new items,"Umbral ash of Yuria of Londor.
With this, the shrine handmaid will prepare new items.

Having three founders of the Black Church
ensured Yuria's legacy would survive.
Her two sisters could carry the torch,
making certain their lord claims the flame,
for the sake of all Hollows."
2117,Basin of Vows,Place basin at a statue of a beheading knight,"Chalice used in old ceremony in which
Lothric knights take their vows.

It is only a formality now,
but it remains as an empty practice.

Place this basin at a statue of a beheading knight."
2118,Loretta's Bone,Old human bone with several holes bored into it,"Old, discolored human bone with several holes bored into it.

A woman's corpse in the Undead Settlement
was found clutching this bone.
Her name was Loretta."
2119,Braille Divine Tome of Carim,Learn high miracles of Carim,"A sacred braille tome from Carim,
filled with advanced miracles.

Give to a storyteller to learn advanced Carim miracles.

In the Way of White,
there is a tradition of placing great faith
in the words of the blind,
and braille tomes are not unusual."
2120,Braille Divine Tome of Lothric,Learn miracles of Lothric,"A sacred braille tome from Lothric,
filled with miracles for use by knights.

Give to a storyteller to learn Lothric miracles.

It is said that no paladin
inside Lothric castle could fall,
owing to the divine protection they enjoyed."
2123,Cinders of a Lord,Cinders of lord left by the Abyss Watchers,"Cinders of a lord left by the Abyss Watchers.

If the lords will not return
to their thrones themselves,
let them return as cinders.

The Watchers of the Abyss swore upon
their shared wolf's blood,
which also served as their
mandate as lords."
2124,Cinders of a Lord,Cinders of a lord left by the God Devourer Aldrich,"Cinders of a lord left by Aldrich, Devourer of Gods.

If the lords will not return
to their thrones themselves,
let them return as cinders.

Aldrich became a lord by devouring men,
but was disillusioned with his throne,
and so took to devouring gods instead."
2125,Cinders of a Lord,Cinders of a lord left by the Giant Yhorm,"Cinders of a lord left by Yhorm the Giant.

If the lords will not return
to their thrones themselves,
let them return as cinders.

Lonely Yhorm became a Lord of Cinder
to put the Profaned Flame to rest,
knowing full well that those who
spoke of him as lord were quite insincere."
2126,Cinders of a Lord,Cinders of a lord left by prince Lothric,"Cinders of a lord left by Prince Lothric.

If the lords will not return
to their thrones themselves,
let them return as cinders.

The Lothric bloodline was obsessed
with creating a worthy heir,
and when this proved impossible,
resorted to unspeakable means.
Suffice it to say,
the path to linking the fire is a cursed one indeed."
2127,Great Swamp Pyromancy Tome,Learn high pyromancies of the Great Swamp,"Pyromancy tome from the Great Swamp
containing advanced pyromancies.

Give to the old master pyromancer to learn
advanced pyromancies of the Great Swamp.

Spells of the Great Swamp are
passed down from master to pupil.
Without a master, there is no pupil,
but without a pupil, there is also no master."
2128,Carthus Pyromancy Tome,Learn pyromancies of Carthus,"A pyromancy tome from Carthus
containing pyromancies crafted for battle.

Give to the old master pyromancer to learn
advanced pyromancies of the Carthus.

Carthus pyromancies developed
in isolation from other forms,
explaining their divergent evolution."
2129,Izalith Pyromancy Tome,Learn chaos pyromancies of Izalith,"A pyromancy tome from Izalith
containing pyromancies of the witches.

Give to the old master pyromancer to learn
chaos pyromancies of Izalith.

Chaos pyromancies manipulate lava,
and birthed all later forms of pyromancy."
2130,Quelana Pyromancy Tome,Learn Quelana pyromancies,"A pyromancy tome of Quelana
containing her unique spells.
These pyromancies can only be taught by a female master.

Give to a female pyromancy master to learn
Quelana's pyromancies.

Quelana, the sole surviving witch of Izalith,
once accepted a human pupil,
but after the pupil moved on,
she never took another."
2131,Grave Warden Pyromancy Tome,Learn black flame pyromancies,"A pyromancy tome of the grave warden,
from the Carthus catacombs.

Give to the pyromancer master to learn
black flame sorceries.

High Lord Wolnir of Carthus succumbed to the Abyss,
but the pyromancer later became a grave warden,
and discovered the black flame."
2132,Sage's Scroll,Learn sorceries of the Crystal Sages,"Scroll containing sorceries of the Crystal Sages.

Give to a sorcerer to learn sorceries of the Sages.

As any sorcerer knows, sorcery is a talent,
and these sorceries were refined to
nurture a very special talent."
2133,Logan's Scroll,Learn Logan's sorceries,"Secret scroll of the Profaned Capital court sorcerers,
containing sorceries of Logan.

Give to a sorcerer to learn Logan's sorceries.

The court sorcerers used this scroll
to claim heirship to Logan's legacy,
though how that claim stands up to
closer scrutiny is another story."
2134,Crystal Scroll,Learn crystal sorceries,"Secret crystal scroll of the Grand Archives of Lothric.

Give to a sorcerer to learn crystal sorceries.

These sorceries are the work of the paledrake,
Seath the Scaleless,
whom Logan is said to have met,
a branch of sorcery that has been
carried on by the Crystal Sages."
2135,Transposing Kiln,Make soul transposition possible,"An old transposing kiln from Courland,
crafted with stitched crystal lizard hide.

Give to Ludleth, Lord of Cinder,
to conduct soul transposition.

This kiln can transpose twisted souls to craft
special items with their concentrated essence.
Deemed forbidden by those unable to make proper use of it."
2137,Coiled Sword,Thrust in shrine bonfire to activate bonfire warp,"Sword missing from the shrine bonfire.
Cannot be equipped as a weapon.

Thrust into the shrine bonfire to restore
its power and enable travel between bonfires.

This sword is only bequeathed to chosen ash,
as judged by the Iudex,
who awaits the arrival of ash as a scabbard."
2138,Eyes of a Fire Keeper,Reveals horrors to the sightless Fire Keeper,"A pair of dark eyes.

Said to be the eyes of the first Fire Keeper,
and the light that was lost
by all Fire Keepers to come.

It reveals to the sightless Fire Keepers things
that they should never see."
2139,Sword of Avowal,Rite of wedlock gives birth to a true Hollow Lord,"Ceremonial sword of Londor.
Cannot be equipped as a weapon.

It is said that a rite of wedlock
will presage a true Hollow lord.

Your spouse's name is Anri,
who patiently awaits a rightful lord,
deep within the mausoleum."
2140,Golden Scroll,Learn sorceries of Oolacile,"A golden scroll chronicling the vast research
of the xanthous scholars.

Give to a sorcerer to learn the arts of Oolacile.

In the lost land of Oolacile,
the sorceries orchestrated light,
and were said to shine in golden hues."
2141,Estus Shard,Increases usages of Estus Flask,"A shard soaked in Estus.

Give to the blacksmith at the shrine
to increases usages of the Estus Flask.

In the old days,
it was rare to see an Estus Flask far from its owner,
but this shard offers hope, however shattered."
2142,Hawkwood's Swordgrass,Message from Hawkwood kept by the blacksmith,"Blood-stained swordgrass of Hawkwood,
deserter of the Undead Legion.

Traditionally, the Undead Legion of Farron sends
the gravest of messages using swordgrass.

""Come to the mausoleum in Farron.
Only one can take the path of ancient dragons."""
2143,Undead Bone Shard,Burn in shrine bonfire to increase Estus recovery,"Undead bones that yet burn.

Cast it into the shrine bonfire
to boost the recovery provided by the Estus Flask.

The bonfire's cinders are the bones of Undead,
and a bone that still burns is a fresh cinder indeed.
Before feeding upon death, one must first pray to it."
2144,Deep Braille Divine Tome,Learn miracles of the Deep,"A braille divine tome of the Deep,
belonging to the deacons of the cathedral.

Give this to a storyteller to learn
miracles of the Deep.

Intended to teach divine protection
to the deacons of the deep, but later,
dark tales were added to its pages,
such that it is now considered a thing profane."
2145,Londor Braille Divine Tome,Learn miracles of Londor,"A braille tome of Londor,
first spoken by Liliane of the Sable Church.

Give this to a storyteller to learn miracles of Londor.

This is a forbidden tome,
as it offers salvation to all Hollows,
and conversely curses all things living."
2146,Excrement-covered Ashes,"Shrine handmaiden prepares new items, perhaps","Unclean umbral ash coated with excrement.
Perhaps it's possible the handmaid of Firelink Shrine
could turn this into a few new things...

""Oh to savor the sweet pungency but once more..."""
2147,Prisoner Chief's Ashes,Shrine handmaid prepares new items,"Umbral ash of the prisoner chief of the catacombs.
With this, the shrine handmaid will prepare new items.

The prisoner chief used his clout
to hoard all manner of things,
but died without putting them to use."
2148,Xanthous Ashes,Shrine handmaid prepares new items,"Umbral ash of a sorcerer who explored
the golden sorceries of a long-lost land.
With this, the shrine handmaid will prepare new items.

They were called xanthous scholars,
but some foolishly imitate them
by simply dressing in yellow."
2149,Hollow's Ashes,Shrine handmaid prepares new items,"Umbral ash of a Hollow who
faithfully served a woman,
only to become separated from her.
With this, the shrine handmaid will prepare new items.

It takes but a brief glance at this thing
to easily envision Londor,
the foreboding land of Hollows."
2150,Patches' Ashes,Shrine handmaid prepares new items,"Umbral ash of Unbreakable Patches.
With this, the shrine handmaid will prepare new items.

Patches never lost heart, and never looked back.
He marched in one direction,
and that direction was dead ahead.
Did you see him passing by?"
2151,Dragon Chaser's Ashes,Shrine handmaid prepares new items,"Umbral ash of the fallen warrior
who chose the path of the ancient dragons.
With this, the shrine handmaid will prepare new items.

Whatever it is, it is sure to grant strength
to the most unrelenting warriors."
2152,Easterner's Ashes,Shrine handmaid prepares new items,"Umbral ash of an armor merchant
from an eastern land.
Surely the handmaid of Firelink Shrine can
turn this into a few new things.

The merchant, the captain of a clan of hunters,
was fascinated with weaponry."
744,Soul of Sister Friede,"One of the twisted souls, steeped in strength","Soul of Sister Friede.
One of the twisted souls, steeped in strength.

Use to acquire numerous souls,
or transpose to extract its true strength.

Friede was the first Ash to enter the painting,
but together with the good Father,
they chose rot over fire."
2153,Champion's Bones,Burn at Firelink Shrine to unlock Undead Matches,"The charred but warm bones of a champion.
Burn at the Firelink Shrine bonfire
to participate in Undead Matches.

Long ago, an Undead declared a fight.
A fight to celebrate their undeath,
and to preserve what remained of their souls.
So it was that the Undead Matches were born.

The merit of an Undead is measured in deaths.
Could there be a greater gift for such a creature,
than a fight that has no end?"
2154,Captain's Ashes,Shrine handmaid will prepare new items,"Umbral ash of the Captain of the Millwood Knights.
With this, the shrine handmaiden will prepare new items.

Long ago, when the Millwood Knights lost
the forest they called home,
they began a journey so long that even thoughts
of their sworn enemy washed away,
replaced by a vision of a cold and brittle wood."
2155,Contraption Key,Key to the contraption accessing the library attic,"The key to the contraption leading to
the attic of the archive found on
the edge of the Corvian Settlement.

After Sir Vilhelm led a white-haired woman
to the attic of the library,
he kept this key as if it were his life."
315,Church Guardian Shiv,Throw illusory blades that seek foes,"This special throwing blade has a flat tip,
and is wielded by guardians of the Church of Filianore.

Consume FP to project illusory blades
which seek their targets.

Guardians of the Church, of whom few remain,
watch over Princess Filianore's eternal slumber
along with the Spears of the Church."
379,Filianore's Spear Ornament,Proof of a Church Spear's fulfilment of duty,"The Spears of the Church watch over the Princess' slumber,
and this serves as proof of their fulfillment of their duty. 
The embellished gold cloth is woven
with a crest of young grass.

The Princess' knights proudly displayed
these precious favors,
which were most often seen swaying
from their identical ceremonial spears."
650,Ritual Spear Fragment,Summon a row of upwardly thrusting ritual spears,"Online play item.
A fragment of the matching ritual spears
once held by the knights of Princess Filianore.

They are the namesake of the Spears of the Church.

When Spears of the Church
face unduly treacherous foes,
this allows them to draw upon former majesty,
and summon a row of upward-thrusting ritual spears."
651,Divine Spear Fragment,Summon a row of upwardly thrusting ritual spears,"Online play item.
A fragment of the matching ritual spears
once held by the knights of Princess Filianore.

These Divine Spears of gold were placed
in the trusted hands of exalted Spears.

When Spears of the Church
face unduly treacherous foes,
this allows them to draw upon former majesty,
and summon a row of upward-thrusting ritual spears."
745,Soul of Slave Knight Gael,"One of the twisted souls, steeped in strength","Soul of Slave Knight Gael.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

The red-hooded, wandering slave knight Gael
sought the blood of the dark soul
as pigment for the Painted World.
But Gael knew he was no Champion,
that the dark soul would likely ruin him,
and that he had little hope of a safe return."
746,Soul of the Demon Prince,"One of the twisted souls, steeped in strength","Soul of the demon prince.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

The demons, birthed from a common Chaos,
share almost everything between them,
even the pride of their prince,
and his near-faded flame.

So that the last demon standing may rekindle it."
747,Soul of Darkeater Midir,"One of the twisted souls, steeped in strength","Soul of Darkeater Midir.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

Midir, descendant of Archdragons,
was raised by the gods,
and owing to his immortality,
was given a duty to eternally battle the dark,
a duty that he would never forget,
even after the gods perished."
2156,Small Envoy Banner,Hold before the ringed cliff for delivery,"The small banner used by envoys
of Great Lord Gwyn in the days of yore.

Face the ringed cliff and hold the banner high
to summon facilitators of transport.

For the pygmies, who took the dark soul,
the Great Lord gifted the Ringed City,
an isolated place at world's end,
and his beloved youngest daughter,
promising her that he would
come for her when the day came."
2157,Old Woman's Ashes,Shrine handmaid prepares new items,"Umbral ash of the old stone-humped woman.
With this, the shrine handmaid will prepare new items.

Things that have dreadfully run their
course accrue at the great dreg-heap.
This old woman was once the wet nurse of royalty."
2158,Blood of the Dark Soul,Pigment to depict a painted world,"Blood of the dark soul that seeped
from the hole within Slave Knight Gael.

Used as pigment by his lady in Ariandel
to depict a painted world.

When Gael came upon the pygmy lords,
he discovered that their blood had long ago dried,
and so consumed the dark soul."
2159,Young Grass Dew,Slightly enhance blessing to Church Spears,"A small, transparent stone that once graced
the green young grass crest.

This semi-precious gem honors a Spear of Church
after a battle well-fought,
and is said to slightly enhance
their blessing of protection.
(while held, this effect is constant)"
10000,Blade of the Darkmoon,Pledge oneself to the Blade of the Darkmoon covenant,"A silver pendant depicting the Darkmoon and a sword,
the crest of the Darkmoon Knights,
the original Blue Sentinels.
Equip to pledge oneself to
the Blade of the Darkmoon covenant.

When a member of the Way of Blue faces a dark spirit,
the Blades of the Darkmoon,
by an ancient accord,
help to root out the invader.
Summoning takes place automatically when equipped."
10020,Watchdogs of Farron,Pledge oneself to the Watchdogs of Farron covenant,"Ancient medallion depicting the crest of a wolf.
Symbolizes the pact with the Old Wolf of Farron.
Equip to pledge oneself to the Watchdogs of Farron.

The Watchdogs ensure that the warriors sleep in serenity,
by taking the form of loyal spirits and hunting down
those who would trespass the woods of Farron.

Summoning takes place automatically
while this is equipped."
10030,Aldrich Faithful,Pledge oneself to the Aldrich Faithful covenant,"The holy symbol of the Cathedral of the Deep,
and crest of those who see beyond fire
to the age of deep waters.
Equip to pledge oneself to the Aldrich Faithful covenant.

The Faithful ensure that Aldrich, Devourer of Gods,
remains undisturbed, by taking the form of loyal spirits
and hunting down those who
would trespass the ruined cathedral.

Summoning takes place automatically
while this is equipped."
10040,Warrior of Sunlight,Pledge oneself to the Warrior of Sunlight covenant,"An ancient talisman depicting a holy symbol
bestowed upon the Warriors of Sunlight.
Equip to pledge oneself to the Warrior of Sunlight covenant.

Warriors of Sunlight are brilliantly beaming co-operators
who place their golden signatures to help those in need,
for it is their duty to deliver
a great conquest to their summoner."
10050,Mound-makers,Pledge oneself to the Mound-makers covenant,"A malformed vertebra found by the mad,
with a queer symbol on its inside,
proof of the shackles of the Gods.
Equip to pledge oneself to the Mound-makers covenant.

The mound-makers wish only to add to their mounds,
becoming mad spirits whether summoned
as co-operators or invaders.

They are blithe to those around them, for in their minds,
any kill might lead to another shackle."
10060,Way of Blue,Pledge oneself to the Way of Blue covenant,"Pale blue sheepskin parchment featuring
an illustration of the moon,
symbol of an ancient accord.

Members of the Way of Blue are
the beneficiaries of an ancient accord.
When a dark spirit threatens them,
a blue spirit will grant them assistance,
and help to root out the invader.

Summoning takes place automatically
while this is equipped."
10070,Blue Sentinels,Pledge oneself to the Blue Sentinels covenant,"Faded sheepskin parchment depicting
the Darkmoon and a sword.
Equip to pledge oneself to the Blue Sentinels covenant.

When a member of the Way of Blue is
threatened by a dark spirit,
the Blue Sentinels, in compliance with an ancient accord,
assume the form of blue spirits,
and help to root out the invader.

Summoning takes place automatically
while this is equipped."
10080,Rosaria's Fingers,Pledge oneself to the Rosaria's Fingers covenant,"Sacred seal of Archdeacon Klimt,
who served Rosaria, Mother of Rebirth.
Equip to pledge oneself to the Rosaria's Fingers covenant.

Rosaria's Fingers collect tongues in her name.
Some do it to be reborn;
others do it to help comfort their voiceless goddess."
10090,Spears of the Church,Join the Spears of the Church covenant,"A green-rusted ornament of young grass,
the crest of Princess Filianore.
Equip to join the Spears of the Church covenant.

The Spears of the Church watch over the Princess' slumber,
and when the church is compromised by a trespasser,
the Judicator summons them
as loyal spirits to eliminate the threat
(summoned automatically while this is equipped).

Loyal spirits summoned as Spears of the Church
are granted a blessing of protection."
242,##Silver Pendant,Silver pendant. Deflects Dark.,"Silver pendant engraved with the crest of Artorias.

One of the ancient treasures of Anor Londo.
Presented to Artorias for facing the Abyss.

Effectively deflects the Dark of the Abyss,
especially in its magic forms."
